index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
x0,,0.7562807410023455,0.02903857036851304,0.8724915827308923,0.7275073927686515,0.6367435719227224,0.6361460760565634,0.8613891736925945,0.8908352389547033,0.7304634326849431,0.643516389237053,0.9707545963908442,0.3331491475005431,0.466534044171817,0.8611606885259989,0.8503062170826499,0.18479583019431994,0.47290429783215004,0.18124331449242803,0.9288442717452037
x1,0.7562807410023455,,0.27726074770423303,0.4465901351169341,0.5203453169478409,0.18827985955199836,0.879295206473629,0.29513743749197324,0.9773033280597473,0.8999000906443693,0.6098970628961167,0.21406904190241063,0.5403748743227612,0.6776527161576389,0.4016689148401248,0.12805998736854549,0.41537265804231416,0.42928459524504325,0.9673307623566257,0.08797523126642619
x2,0.02903857036851304,0.27726074770423303,,0.40605327942166336,0.7593468360430475,0.9560220564434174,0.13212939384724348,0.6660902846969445,0.5962947131757845,0.9947935147633292,0.19584827416902925,0.6597673731500133,0.0105500936418092,0.2639220764630941,0.11550081195615652,0.11777692691981369,0.6082089188401834,0.6746597450922159,0.0893116611489364,0.7765158963060926
x3,0.8724915827308923,0.4465901351169341,0.40605327942166336,,0.869529995491675,0.6018301316963663,0.9695989582956861,0.9654596121506133,0.2966893236781767,0.8171717806567024,0.05833250842507483,0.4062450956371956,0.11138497143655755,0.8172506684199009,0.0014480126773121465,0.40915404087198554,0.41463205391484925,0.6804975217987477,0.9390880293623938,0.8179895353126889
x4,0.7275073927686515,0.5203453169478409,0.7593468360430475,0.869529995491675,,0.7174415583751592,0.832141595799794,0.5631504750524675,0.5604942581485359,0.7153142752750972,0.49483659760390075,0.838777150613073,0.4259749425276943,0.32657301654481724,0.5227108647678582,0.5089824378261742,0.8575457964425334,0.9925043601241671,0.3711977273653589,0.7664891812524762
x5,0.6367435719227224,0.18827985955199836,0.9560220564434174,0.6018301316963663,0.7174415583751592,,0.8462061614028692,0.12739057660917885,0.5331315893962709,0.0005320802123802207,0.17426887430938579,0.7972216780191888,0.8462553121003149,0.4843650615275428,0.17906945226600396,0.9564883230814037,0.9915737886734323,0.6549295877434397,0.008598614346365004,0.9144256453610909
x6,0.6361460760565634,0.879295206473629,0.13212939384724348,0.9695989582956861,0.832141595799794,0.8462061614028692,,0.19932356063835863,0.038642371023612176,0.9657233998718131,0.9950697312799369,0.2940144230902072,0.5408992557629992,0.6620551776443326,0.17748860964838375,0.80448829826317,0.9429308366009309,0.3215829081907036,0.9302204835198425,0.05224866903091113
x7,0.8613891736925945,0.29513743749197324,0.6660902846969445,0.9654596121506133,0.5631504750524675,0.12739057660917885,0.19932356063835863,,0.5900726393576212,0.4493896019960051,0.8620428665876181,0.36313002437467296,0.9787497341330024,0.1294745361899094,0.00791869209870713,0.981517785959397,0.8535528680509787,0.21271718507835577,0.13310443014085532,0.19617545252872653
x8,0.8908352389547033,0.9773033280597473,0.5962947131757845,0.2966893236781767,0.5604942581485359,0.5331315893962709,0.038642371023612176,0.5900726393576212,,0.04748146759670945,0.6409607026795368,0.41214232997975536,0.6485627392975049,0.4842415208238653,0.3249600193753223,0.05411672314158127,0.9030432528157212,0.1416288647237074,0.8221377870373593,0.713687420869736
x9,0.7304634326849431,0.8999000906443693,0.9947935147633292,0.8171717806567024,0.7153142752750972,0.0005320802123802207,0.9657233998718131,0.4493896019960051,0.04748146759670945,,0.32541016386300303,0.901885515403393,0.18499993357878708,0.07326677629772098,0.5336772450168865,0.1485001684123054,0.22279888606253812,0.4539223145042013,0.43783997658784884,0.778368529714653
